mw_id,name,description,page_description,price,availability,brand,sku,category_id,category_name,category_path,category_url,image_main,photos_all,url
350,"Сіточка для зачістки, стретч.","Універсальна сіточка для зачістки та шліфування різних поверхонь. Виготовлена зі стретч-матеріалу для максимальної гнучкості й зручності. Ідеальна для домашнього ремонту, обробки дерева та металу. Довготривала та надійна.","Універсальна сіточка для зачістки та шліфування різних поверхонь. Виготовлена зі стретч-матеріалу для максимальної гнучкості й зручності. Ідеальна для домашнього ремонту, обробки дерева та металу. Довготривала та надійна.",9.01,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/14dc/sd94/gf37/dsc09139_710x533_crop.JPG,https://cdn.gomw.co/d/product/14dc/sd94/gf37/dsc09139.JPG,https://kristallik.com.ua/product/350/sitochka-dlya-zachistki-stretch/
433,Металеві краби для волосся. 2.5 см.,"Стильні металеві краби для волосся розміром 2.5 см – ідеальний вибір для фіксації зачісок. Міцні та легкі заколки не пошкоджують волосся, підходять для всіх типів. Практичні аксесуари для повсякденного використання й створення красивих укладок.","Стильні металеві краби для волосся розміром 2.5 см – ідеальний вибір для фіксації зачісок. Міцні та легкі заколки не пошкоджують волосся, підходять для всіх типів. Практичні аксесуари для повсякденного використання й створення красивих укладок.",56.18,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/d/product/zq54/37ls/14dc/dsc06015_710x533_crop.JPG,https://cdn.gomw.co/d/product/zq54/37ls/14dc/dsc06015.JPG|https://cdn.gomw.co/d/product/gf24/sd54/dcdc/dsc09317.JPG|https://cdn.gomw.co/d/product/selk/24gf/lkzq/dsc06016.JPG,https://kristallik.com.ua/product/433/metalevi-krabi-dlya-volossya-2-5-sm/
461,Шпильки для волосся . 6 см.,"Якісні шпильки для волосся довжиною 6 см ідеально підходять для фіксації причісок, укладок та пучків. Виготовлені з надійного матеріалу, забезпечують міцне утримання волосся протягом дня. Універсальні та зручні в застосуванні для всіх типів волосся.","Якісні шпильки для волосся довжиною 6 см ідеально підходять для фіксації причісок, укладок та пучків. Виготовлені з надійного матеріалу, забезпечують міцне утримання волосся протягом дня. Універсальні та зручні в застосуванні для всіх типів волосся.",219.95,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/lsaz/3754/dcls/dsc09397_710x533_crop.JPG,https://cdn.gomw.co/d/product/lsaz/3754/dcls/dsc09397.JPG|https://cdn.gomw.co/d/product/gfzq/37gf/1485/dsc09398.JPG,https://kristallik.com.ua/product/461/shpil-ki-dlya-volossya-6-sm/
476,Шпильки для волосся. 8 см.,"Набір якісних шпильок довжиною 8 см для надійного укріплення зачіски. Матеріал стійкий до ламання, не пошкоджує волосся. Ідеальні для щоденного використання та створення різноманітних укладок. Універсальні шпильки для всіх типів волосся.","Набір якісних шпильок довжиною 8 см для надійного укріплення зачіски. Матеріал стійкий до ламання, не пошкоджує волосся. Ідеальні для щоденного використання та створення різноманітних укладок. Універсальні шпильки для всіх типів волосся.",0.36,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/8594/54se/ls21/dsc09460_710x533_crop.JPG,https://cdn.gomw.co/d/product/8594/54se/ls21/dsc09460.JPG,https://kristallik.com.ua/product/476/shpil-ki-dlya-volossya-8-sm/
477,Шпильки для волосся. 7см.,"Елегантні шпильки довжиною 7 см для надійного закріплення причіски. Ідеальні для щоденного використання, створення причесок та аксесуарів. Легкі та зручні, не пошкоджують волосся. Універсальний розмір для всіх типів волосся.","Елегантні шпильки довжиною 7 см для надійного закріплення причіски. Ідеальні для щоденного використання, створення причесок та аксесуарів. Легкі та зручні, не пошкоджують волосся. Універсальний розмір для всіх типів волосся.",0.31,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/se14/sdgf/zq21/dsc09456_710x533_crop.JPG,https://cdn.gomw.co/d/product/se14/sdgf/zq21/dsc09456.JPG,https://kristallik.com.ua/product/477/shpil-ki-dlya-volossya-7sm/
478,Шпильки для волосся. 6см.,"Купити якісні шпильки для волосся довжиною 6 см в Україні. Надійні аксесуари для укладання та фіксації волосся. Доставка по всій країні. Низька ціна, відмінна якість. Ідеальні для повсякденних та святкових причісок. Kristallik — ваш надійний партнер у виборі аксесуарів для волосся.","Купити якісні шпильки для волосся довжиною 6 см в Україні. Надійні аксесуари для укладання та фіксації волосся. Доставка по всій країні. Низька ціна, відмінна якість. Ідеальні для повсякденних та святкових причісок. Kristallik — ваш надійний партнер у виборі аксесуарів для волосся.",0.27,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/2454/sd21/uhdc/dsc09457_710x533_crop.JPG,https://cdn.gomw.co/d/product/2454/sd21/uhdc/dsc09457.JPG,https://kristallik.com.ua/product/478/shpil-ki-dlya-volossya-6sm/
528,Дитячі крабики для волосся. 3.5 см.,"Дитячий крабик,обтягнутий шифоновою тканиною. У формі бантика. Ціна за 12 шт.","Дитячий крабик,обтягнутий шифоновою тканиною. У формі бантика. Ціна за 12 шт.",85.33,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/sd21/lsgf/se21/dsc09585_710x533_crop.JPG,https://cdn.gomw.co/d/product/sd21/lsgf/se21/dsc09585.JPG|https://cdn.gomw.co/d/product/5424/sdkd/sd85/dsc09586.JPG,https://kristallik.com.ua/product/528/dityachi-krabiki-dlya-volossya-3-5-sm/
531,Повітряні кульки. G 90/80 26см. Пастель.,"Яскраві пастельні повітряні кульки діаметром 26 см ідеально підходять для прикрашання будь-яких святкувань. Високої якості латекс, тривалий час надування. Ідеальний вибір для дня народження, весілля чи корпоративної події. Універсальний розмір G 90/80 для різноманітних композицій.","Яскраві пастельні повітряні кульки діаметром 26 см ідеально підходять для прикрашання будь-яких святкувань. Високої якості латекс, тривалий час надування. Ідеальний вибір для дня народження, весілля чи корпоративної події. Універсальний розмір G 90/80 для різноманітних композицій.",1.76,in stock,Кристалік,,200,Повітряні кульки оптом.,Каталог > Аксесуари для волосся оптом. > Повітряні кульки оптом.,https://kristallik.com.ua/catalog/200/povitryani-kul-ki-optom/,https://cdn.gomw.co/b/product/sdzq/azuh/sd54/unnamed-7-_710x533_crop.jpg,https://cdn.gomw.co/d/product/sdzq/azuh/sd54/unnamed-7-.jpg|https://cdn.gomw.co/d/product/zqse/gf14/segf/dsc09625.JPG|https://cdn.gomw.co/d/product/lsdc/se94/zquh/dsc09594.JPG,https://kristallik.com.ua/product/531/povitryani-kul-ki-g-90-80-26sm-pastel-/
533,Повітряні кульки. А 80/80 21см.,"Яскраві повітряні кульки для дитячих свят, днів народження та розваг. Розмір 21 см, легкі в наповненні гелієм або повітрям. Ідеальні для декорування будь-якого святкування. Якісний матеріал, довготривалі, безпечні для дітей. Універсальний вибір для оформлення.","Яскраві повітряні кульки для дитячих свят, днів народження та розваг. Розмір 21 см, легкі в наповненні гелієм або повітрям. Ідеальні для декорування будь-якого святкування. Якісний матеріал, довготривалі, безпечні для дітей. Універсальний вибір для оформлення.",1.17,in stock,Кристалік,,200,Повітряні кульки оптом.,Каталог > Аксесуари для волосся оптом. > Повітряні кульки оптом.,https://kristallik.com.ua/catalog/200/povitryani-kul-ki-optom/,https://cdn.gomw.co/b/product/az54/zqzq/seuh/unnamed-2-_710x533_crop.jpg,https://cdn.gomw.co/d/product/az54/zqzq/seuh/unnamed-2-.jpg|https://cdn.gomw.co/d/product/uh21/dcgf/1437/dsc09630.JPG|https://cdn.gomw.co/d/product/2194/sd54/uhdc/dsc09599.JPG,https://kristallik.com.ua/product/533/povitryani-kul-ki-a-80-80-21sm/
536,Повітряні кульки. D4/80 Конструктор.,Кульки Конструктор 5x140см.Пастэль асорти 100шт.в уп.,Кульки Конструктор 5x140см.Пастэль асорти 100шт.в уп.,2.08,in stock,Кристалік,,200,Повітряні кульки оптом.,Каталог > Аксесуари для волосся оптом. > Повітряні кульки оптом.,https://kristallik.com.ua/catalog/200/povitryani-kul-ki-optom/,https://cdn.gomw.co/b/product/zqsd/kddc/gfdc/dsc09604_710x533_crop.JPG,https://cdn.gomw.co/d/product/zqsd/kddc/gfdc/dsc09604.JPG|https://cdn.gomw.co/d/product/zquh/14kd/lsdc/dsc09638.JPG,https://kristallik.com.ua/product/536/povitryani-kul-ki-d4-80-konstruktor/
537,Повітряна кулька GD90/83 26см. Малюнок,"Яскрава та якісна повітряна кулька з привабливим малюнком. Розмір 26 см, ідеальна для святкування дня народження, весілля та будь-якого свята. Виготовлена з міцного матеріалу, довго зберігає форму. Легко надувається, безпечна для дітей і дорослих. Прекрасно підходить для оформлення приміщень.","Яскрава та якісна повітряна кулька з привабливим малюнком. Розмір 26 см, ідеальна для святкування дня народження, весілля та будь-якого свята. Виготовлена з міцного матеріалу, довго зберігає форму. Легко надувається, безпечна для дітей і дорослих. Прекрасно підходить для оформлення приміщень.",2.42,in stock,Кристалік,,200,Повітряні кульки оптом.,Каталог > Аксесуари для волосся оптом. > Повітряні кульки оптом.,https://kristallik.com.ua/catalog/200/povitryani-kul-ki-optom/,https://cdn.gomw.co/b/product/selk/uh85/85zq/dsc09605_710x533_crop.JPG,https://cdn.gomw.co/d/product/selk/uh85/85zq/dsc09605.JPG|https://cdn.gomw.co/d/product/21se/zq54/kd94/dsc09639.JPG,https://kristallik.com.ua/product/537/povitryana-kul-ka-gd90-83-26sm-malyunok/
538,"Кульки з Днем народження! 10"" 26 см. GD90","Святкові латексні кульки ідеальні для декорування дня народження. Діаметр 26 см, яскраві кольори з написом З Днем народження!. Надійна якість, довге збереження форми. Комплект для оформлення свята вдома або в закладі. Доступна ціна, швидка доставка.","Святкові латексні кульки ідеальні для декорування дня народження. Діаметр 26 см, яскраві кольори з написом ""З Днем народження!"". Надійна якість, довге збереження форми. Комплект для оформлення свята вдома або в закладі. Доступна ціна, швидка доставка.",2.42,in stock,Кристалік,,200,Повітряні кульки оптом.,Каталог > Аксесуари для волосся оптом. > Повітряні кульки оптом.,https://kristallik.com.ua/catalog/200/povitryani-kul-ki-optom/,https://cdn.gomw.co/b/product/1424/2121/sd94/unnamed-5-_710x533_crop.jpg,https://cdn.gomw.co/d/product/1424/2121/sd94/unnamed-5-.jpg|https://cdn.gomw.co/d/product/zq85/kdls/gf94/dsc09640.JPG|https://cdn.gomw.co/d/product/uhuh/21uh/21uh/dsc09610.JPG,https://kristallik.com.ua/product/538/kul-ki-z-dnem-narodzhennya-10-26-sm-gd90/
540,Повітряні кульки A70/80 19см.,Повітряні кульки пастель асорті 19 см. 100 шт.в уп.,Повітряні кульки пастель асорті 19 см. 100 шт.в уп.,1.11,in stock,Кристалік,,200,Повітряні кульки оптом.,Каталог > Аксесуари для волосся оптом. > Повітряні кульки оптом.,https://kristallik.com.ua/catalog/200/povitryani-kul-ki-optom/,https://cdn.gomw.co/b/product/1494/sekd/dc14/unnamed_710x533_crop.jpg,https://cdn.gomw.co/d/product/1494/sekd/dc14/unnamed.jpg|https://cdn.gomw.co/d/product/lkzq/3794/gflk/dsc09642.JPG|https://cdn.gomw.co/d/product/seaz/sdzq/sekd/dsc09612.JPG,https://kristallik.com.ua/product/540/povitryani-kul-ki-a70-80-19sm/
541,Повітряні кульки. З Днем Народження 30 см.,"Повітряні кульки, асорти. Діаметр 26 см.100 шт.в уп.","Повітряні кульки, асорти. Діаметр 26 см.100 шт.в уп.",4.76,in stock,Кристалік,,200,Повітряні кульки оптом.,Каталог > Аксесуари для волосся оптом. > Повітряні кульки оптом.,https://kristallik.com.ua/catalog/200/povitryani-kul-ki-optom/,https://cdn.gomw.co/b/product/37uh/lk94/uh21/dsc09613_710x533_crop.JPG,https://cdn.gomw.co/d/product/37uh/lk94/uh21/dsc09613.JPG|https://cdn.gomw.co/d/product/5454/54gf/lk21/dsc09645.JPG,https://kristallik.com.ua/product/541/povitryani-kul-ki-z-dnem-narodzhennya-30-sm/
573,Твістер для волосся. 22см.,Твістер паралоновий з пластиною всередені. Довжина 22 см. Ціна за 12 шт.,Твістер паралоновий з пластиною всередені. Довжина 22 см. Ціна за 12 шт.,12.99,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/azlk/8524/3724/dsc09717_710x533_crop.JPG,https://cdn.gomw.co/d/product/azlk/8524/3724/dsc09717.JPG,https://kristallik.com.ua/product/573/tvister-dlya-volossya-22sm/
577,Валик для зачіски 7 см.,Валики для придания объёма причёски.Диаметр: 7 см. Цена за 12 шт.,Валики для придания объёма причёски.Диаметр: 7 см. Цена за 12 шт.,13.21,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/1424/54se/5437/dsc09732_710x533_crop.JPG,https://cdn.gomw.co/d/product/1424/54se/5437/dsc09732.JPG|https://cdn.gomw.co/d/product/lslk/ls54/se37/dsc09733.JPG,https://kristallik.com.ua/product/577/valik-dlya-zachiski-7-sm/
578,Валик для зачіски 9 см.,Валики для придания объёма причёски.Диаметр: 9 см. Цена за 12 шт.,Валики для придания объёма причёски.Диаметр: 9 см. Цена за 12 шт.,18.20,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/ls21/azuh/uhdc/dsc09734_710x533_crop.JPG,https://cdn.gomw.co/d/product/ls21/azuh/uhdc/dsc09734.JPG|https://cdn.gomw.co/d/product/3794/ls14/se37/dsc09736.JPG,https://kristallik.com.ua/product/578/valik-dlya-zachiski-9-sm/
671,Вкрутки для волосся.,"Легко створюйте красиві хвилі та локони за допомогою наших зручних вкруток для волосся. Ідеальні для всіх типів волосся, забезпечують довготривалу укладку без пошкоджень. Випробовані засоби краси для стильного образу кожного дня.","Легко створюйте красиві хвилі та локони за допомогою наших зручних вкруток для волосся. Ідеальні для всіх типів волосся, забезпечують довготривалу укладку без пошкоджень. Випробовані засоби краси для стильного образу кожного дня.",60.95,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/kdsd/21az/uhse/dsc09906_710x533_crop.JPG,https://cdn.gomw.co/d/product/kdsd/21az/uhse/dsc09906.JPG,https://kristallik.com.ua/product/671/vkrutki-dlya-volossya/
674,Резинки для волосся.,"Стильні та міцні резинки для волосся різних кольорів. Ідеальні для повсякденних зачісок, спорту та святкових подій. Не пошкоджують волосся, легко фіксують будь-яку прическу. Якісні матеріали гарантують тривалу носку. Доступні ціни на весь асортимент.","Стильні та міцні резинки для волосся різних кольорів. Ідеальні для повсякденних зачісок, спорту та святкових подій. Не пошкоджують волосся, легко фіксують будь-яку прическу. Якісні матеріали гарантують тривалу носку. Доступні ціни на весь асортимент.",100.70,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/uhls/ls54/kd54/dsc09912_710x533_crop.JPG,https://cdn.gomw.co/d/product/uhls/ls54/kd54/dsc09912.JPG|https://cdn.gomw.co/d/product/37kd/sekd/ls54/dsc09911.JPG,https://kristallik.com.ua/product/674/rezinki-dlya-volossya/
749,Резинки Barbi. Велика біла.,"Найкращий вибір для укладання волосся будь-якого типу. Білі резинки Barbi великого розміру міцні та еластичні, не ламають волосся і довго зберігають форму. Ідеальні для створення елегантних зачісок на кожен день. Якісні та надійні.","Найкращий вибір для укладання волосся будь-якого типу. Білі резинки Barbi великого розміру міцні та еластичні, не ламають волосся і довго зберігають форму. Ідеальні для створення елегантних зачісок на кожен день. Якісні та надійні.",4.99,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/85az/21ls/21gf/dsc00157_710x533_crop.JPG,https://cdn.gomw.co/d/product/85az/21ls/21gf/dsc00157.JPG|https://cdn.gomw.co/d/product/gfzq/se21/sdaz/dsc00153.JPG|https://cdn.gomw.co/d/product/24se/azdc/94kd/dsc00156.JPG,https://kristallik.com.ua/product/749/rezinki-barbi-velika-bila/
758,Резинки для волосся Barbi.,"Стильні резинки для волосся Barbi в різних кольорах та дизайнах. Надійно тримають зачіску впродовж дня, не пошкоджуючи волосся. Ідеальні для дівчат будь-якого віку. Якісні матеріали забезпечують комфортне носіння. Придбайте популярні резинки для волосся за доступною ціною.","Стильні резинки для волосся Barbi в різних кольорах та дизайнах. Надійно тримають зачіску впродовж дня, не пошкоджуючи волосся. Ідеальні для дівчат будь-якого віку. Якісні матеріали забезпечують комфортне носіння. Придбайте популярні резинки для волосся за доступною ціною.",0.35,in stock,Кристалік,,156,Аксесуари для волосся оптом.,Каталог > Аксесуари для волосся оптом.,https://kristallik.com.ua/catalog/156/aksesuari-dlya-volossya-optom/,https://cdn.gomw.co/b/product/kdkd/uhkd/3737/dsc00187_710x533_crop.JPG,https://cdn.gomw.co/d/product/kdkd/uhkd/3737/dsc00187.JPG|https://cdn.gomw.co/d/product/21ls/zqlk/sedc/dsc00188.JPG,https://kristallik.com.ua/product/758/rezinki-dlya-volossya-barbi/
769,Бісер дрібний каліброванний.,"Якісний дрібний калібрований бісер для бісероплетіння, вишивки та творчості. Рівномірний розмір, яскраві кольори, зручна упаковка. Ідеальний для амулетів, браслетів та прикрас своїми руками.","Якісний дрібний калібрований бісер для бісероплетіння, вишивки та творчості. Рівномірний розмір, яскраві кольори, зручна упаковка. Ідеальний для амулетів, браслетів та прикрас своїми руками.",29.68,in stock,Кристалік,,332,"Бісер дрібний, калібрований №12,по по 50грам.Оптом.","Каталог > Аксесуари для волосся оптом. > Бісер оптом. > Бісер дрібний, калібрований №12,по по 50грам.Оптом.",https://kristallik.com.ua/catalog/332/biser-dribniy-kalibrovaniy-12-po-po-50gram-optom/,https://cdn.gomw.co/b/product/lskd/dcsd/uhdc/dsc00235_710x533_crop.JPG,https://cdn.gomw.co/d/product/lskd/dcsd/uhdc/dsc00235.JPG|https://cdn.gomw.co/d/product/lsgf/sdse/dcgf/dsc00238.JPG,https://kristallik.com.ua/product/769/biser-dribniy-kalibrovanniy/
