Дата,Вартість / конв.,Вартість,Конверсії,Цінність конв./вартість
"вт, 9 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 10 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 11 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 12 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 13 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 14 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 15 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 16 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 17 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 18 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 19 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 20 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 21 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 22 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 23 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 24 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 25 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 26 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 27 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 28 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 29 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 30 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 31 груд. 2025 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 1 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 2 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 3 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 4 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 5 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 6 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 7 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 8 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 9 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 10 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 11 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 12 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 13 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 14 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 15 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 16 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 17 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 18 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 19 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 20 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 21 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 22 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 23 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 24 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 25 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 26 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 27 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 28 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 29 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 30 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 31 січ. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 1 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 2 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 3 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 4 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 5 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 6 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 7 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 8 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 9 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 10 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 11 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 12 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 13 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 14 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 15 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 16 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 17 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 18 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 19 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 20 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 21 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 22 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 23 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 24 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 25 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"чт, 26 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пт, 27 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"сб, 28 лют. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"нд, 1 бер. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"пн, 2 бер. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"вт, 3 бер. 2026 р.","0,00 грн","0,00 грн","0,00","0,00"
"ср, 4 бер. 2026 р.","0,00 грн","0,78 грн","0,00","0,00"
"чт, 5 бер. 2026 р.","0,00 грн","153,28 грн","0,00","0,00"
"пт, 6 бер. 2026 р.","0,00 грн","68,52 грн","0,00","0,00"
"сб, 7 бер. 2026 р.","0,00 грн","118,25 грн","0,00","0,00"
"нд, 8 бер. 2026 р.","0,00 грн","1,44 грн","0,00","0,00"
